Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	Reworked by	Contributors	Attribution	Comments	max_length
			ignore			\Items\Attachments\POSP\Files	Icon_POSP.png	18286	6b94a89ec4b7d151dd003785eae6b35e03a669a637237c773ad7d594c61bbc78					
			ignore			\Items\Attachments\POSP\Files	TX_POSP_AL.png	2498589	c2e3c6681284541a4cc8378d3266aee0cdaed1caa73c124128a0c06491b5b7d7					
			ignore			\Items\Attachments\POSP\Files	TX_POSP_AO.png	178684	18938940f5bc9f020bfcd8b5451bcc0f4eb36c5f193f9062591e7525a4b425b2					
			ignore			\Items\Attachments\POSP\Files	TX_POSP_NR.png	5982686	0611526b550aefcf983517bd69841c2d0cf605bf201719ac9eec2a16fe2aafa5					
			ignore			\Items\Attachments\POSP\Files	TX_POSP_Reticle.png	20933	0d07f46f5c9825615d5278ebcc22bd76a2962ded210138e4b6e60ede8dce67c7					
			ignore			\Items\Attachments\PRO\Files	Icon_PRO.png	12361	6dee00f8645cb1c98276c7355730b13ac93c87d005e3e8c3fe7c01894c4d668c					
			ignore			\Items\Attachments\PRO\Files	TX_PRO_Body_AL.png	832823	7f38b99e2f096549b10e4e10bc10b103ef8b74ad9da5a96f5ee7a9146c2ecf1a					
			ignore			\Items\Attachments\PRO\Files	TX_PRO_Body_NR.png	852655	4dcf5ab45c36bf0d7fbd689549dc6318c3ecbe4db0a4534997b3012c16eabbbe					
			ignore			\Items\Attachments\PRO\Files	TX_PRO_Details_AL.png	944706	e90e9008be475148c450bb2aeb0c12820d67fbfd83e772414ad35a8944879585					
			ignore			\Items\Attachments\PRO\Files	TX_PRO_Details_NR.png	311052	020b240afd048f75d38b548c77b38368f91773bcbd42eca3084ef81fea89aaed					
			ignore			\Items\Attachments\PRO\Files	TX_PRO_Mount_AL.png	800671	39644a3ff29d13618cccd719fef593ee1064cbdb739ec4785895d3bcac4faaf1					
			ignore			\Items\Attachments\PRO\Files	TX_PRO_Mount_NR.png	825397	62c435dba7397d1da7551bf82e9a742c0b246b7df6b7200faf001cfb8c33a83c					
			ignore			\Items\Attachments\PTN\Files	Icon_PTN.png	9910	a3a039465f4907f1a2d5fd0439fca06f7d74463220eb68e483f24b116e239795					
			ignore			\Items\Attachments\PTN\Files	TX_PTN_AL.png	1014547	a625f6272fee243cf6aa055d658c20c0f99852101a22780fe642d06be4fb85ef					
			ignore			\Items\Attachments\PTN\Files	TX_PTN_NR.png	367165	adad0f8f4bb469ab9d5e84d09218429339629b01e6f038b04775d1df1c53d1ec					
			ignore			\Items\Attachments\PU\Files	Icon_PU.png	15786	48b666093b1241e9abfd6ca0b6500fa38fed0eb2be3484b9cfe23a5c5487b314					
			ignore			\Items\Attachments\PU\Files	TX_PU_AL.png	3285214	809d20ca0429236ecbeaba5391cdb11a50f6fa8124d7982a6f68a6a78221d2fb					
			ignore			\Items\Attachments\PU\Files	TX_PU_AO.png	182336	48908faa9a02f3dd3562bb47fd3b3e26a0c772ee2ad782199b314f3953f4183f					
			ignore			\Items\Attachments\PU\Files	TX_PU_NR.png	1089567	99508b14ddd0848e5b0625ee32fe6a409e66faba7c13e6d5e8e1e023afa37f29					
			ignore			\Items\Attachments\PU\Files	TX_PU_Reticle.png	5569	5433860c5ce4fc57d1ff93eb95b539080d45c82566f690ab0ea684ee31d82b27					
			ignore			\Items\Attachments\RMR\Files	Icon_RMR.png	5463	451750d82f7fa5fa90d1604db292480f44041259b1350a10e6ad8a2ae3a247c8					
			pending	"WARRANTY
VOID
IF REMOVED"		\Items\Attachments\RMR\Files	TX_RMR_AL.png	281319	090b58f89911be91c3c22d261fdd5adf2adf18f9930165a34e7e6fdc6575656c					
			ignore			\Items\Attachments\RMR\Files	TX_RMR_NR.png	269290	96416793efbac93454bc03c77bb4e27c42eb07945db53e62e7b04800057e1da1					
			ignore			\Items\Attachments\Rider\Files	Icon_Rider.png	4959	1660b971059a9cc9a24738d411c1772631ab97853d139578cf4b37be4bb59b71					
			ignore			\Items\Attachments\Rider\Files	TX_Rider_AL.png	122176	b271c0a7b571a8099b22f441fda49e5185b25d81a8a6a12831e7dc878111218f					
			ignore			\Items\Attachments\Rider\Files	TX_Rider_NR.png	300538	7c3e47a035eeff4b8dcdcdcd52157a3725deb4b4b74ce5be539b46a17179a646					
			ignore			\Items\Attachments\SOCOM\Files	Icon_SOCOM.png	6159	656ebec2b54cdac351ad7063728292c33766f86ae3d62e6816ec1ff871577247					
			ignore			\Items\Attachments\SOCOM\Files	TX_SOCOM_AL.png	77006	ce2d8666bea0229f4fd32f333899468dcd0f7a34870991644fde771cc7b3cd81					
			ignore			\Items\Attachments\SOCOM\Files	TX_SOCOM_NR.png	247351	3b2c3f879a3ab0fd8a3cf28837401d24382066ff471044cc44bbed76be249f06					
			ignore			\Items\Attachments\SRO\Files	Icon_SRO.png	5920	70c0b50e2e6692b37194ac6e95a96bffce7190dc0793d1227f8dbe741863995a					
			ignore			\Items\Attachments\SRO\Files	TX_SRO_AL.png	258704	1689ab602b98ab55791fbbb6c50b081cbbdf63d7df4e2a21a75f56dc38db918e					
			ignore			\Items\Attachments\SRO\Files	TX_SRO_NR.png	252572	07ea533a4d16fb6711aa83a0fc48b610939b907208f760fa0009fae6054fd438					
			ignore			\Items\Attachments\Salvo\Files	Icon_Salvo.png	10208	e0e4ff645bc6f008010f4d9fa0e45762121937b84a4c245c5332bbefdb094f1d					
			ignore			\Items\Attachments\Salvo\Files	TX_Salvo_AL.png	217426	7c6c2f4d83dd83162ab51d444b1fd5643baf9adca7e4fea8559cb2691d8ddf26					
